"","Publication Year","Author","Title","AGRONOMY JOURNAL","DOI","Url","Abstract Note","Date","Journal Abbreviation","location_LA_CA","field_study","primary_data","study_type","focus_agriculture","target_crop_livestock","tested_practices","Status","is_LAC_CAC","Status_AI"
"56",2014,"Ahmad, Wiqar; Khan, Farmanullah; Naeem, Muhammad","Improvement in physical properties of eroded agricultural soils through agronomic management practices","JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT",NA,NA,"Arable land in Pakistan is shrinking due to construction of houses and development of infrastructure, there has been a trend of shifting agriculture towards steep lands in order to feed the increasing population. Soil erosion on these lands is one of the most significant ecological restrictions to sustainable agriculture. A study was conducted during 2006-2008 to test the agronomic management practices for mitigating the adverse effects of soil erosion on arable soil. The experiment was designed in RCB with split plot arrangements. Cropping patterns, i e maize (Zea mays L.)-wheat (Triticum aestivum L.)-maize (C1), maize-lentil (Lens culinaris Medic.)-maize (C2) and maize-wheat+lentil intercrop-maize (C3) were kept in main plots while fertilizer treatments; the control (T1), 50% NP also called farmers' practice (T2), 100% NPK or the recommended dose (T3) and 20 tonnes/ha farmyard manure integrated with 50% mineral N and 100% P and K (T4) were kept in sub-plots. Fertilizer treatments significantly improved soil physical properties in both depths. T4 showed the maximum improvement (13, 12, 22 and 31%) in bulk density, porosity, saturation and available water over the control and 3, 3, 8 and 7% over the T3 in surface soil. Cereal-legume rotation showed the maximum improvement while significant improvement in soil physical properties was noted with time, i e from kharif 2006 to rabi 2007. Highly significant negative correlation was observed between bulk density and saturation percentage (r(2)=0.97) and bulk density and AWHC (r(2)=0.93). It was concluded that NPK fertilizer alone cannot restore the physical environment of eroded soil to its maximum limit, but this objective could, rather, be achieved through mixed application of farmyard manure and mineral fertilizers. For this purpose, being an unstable nutrient element, recommended dose of mineral N must be reduced by 50% to avoid its over-application. In addition to other benefits of legumes in rotation, its improvement of physical properties further assert their importance in farming on such eroded lands.","2014","INDIAN JOURNAL OF AGRICULTURAL SCIENCES","Pakistan","Yes","Yes","Yes","Yes","No","soil amendments","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"57",2016,"Wang, Yong Peng; Li, Xiao Gang; Fu, Taotao; Wang, Lin; Turner, Neil C.; Siddique, Kadambot H. M.; Li, Feng-Min","Multi-site assessment of the effects of plastic-film mulch on the soil organic carbon balance in semiarid areas of China","EUROPEAN JOURNAL OF AGRONOMY","10.1016/j.agrformet.2016.06.016",NA,"Plastic-film mulch is widely used to increase soil temperature and reduce water evaporation in vegetable production. In China, it is also extensively used for growing grain crops, especially in temperature and rainfall limited areas. However, it remains unclear whether the technology is sustainable in terms of maintenance of soil organic carbon (SOC) balance. We assessed the effects of plastic-film mulch on the SOC balance in maize (Zea mays L) production in a range of cold semiarid environments. We imposed four treatments: (i) no plastic-film mulch or straw incorporation, (ii) plastic-film mulch, (iii) straw incorporation in soil without mulch, and (v) straw incorporation plus mulch, in ridge-furrow prepared fields at five sites along a hydrothermal gradient for up to six years. Maize root biomass across sites increased by 23-38% in mulched plots associated with the increase in aboveground biomass, indicating an increased SOC input, compared to that in non-mulched plots. The plastic-film mulch increased SOC mineralization, indicated by the stimulated decomposition of buried maize straw, and a 4-5% reduction in the concentration of light-fraction SOC (<1.8 g cm(-3)), but the total SOC concentration and stock in the 0-0.15 m soil layer did not change relative to no mulch after six years of continuous cropping. Plastic-film mulch did not affect the total non-cellulosic sugar content; however, it significantly increased the contribution of microbial-synthesized sugars to the total non-cellulosic sugars, indicating an intensified microbial action on the SOC pool compared to no mulch. Straw incorporation increased the root biomass, light and total SOC concentrations and non-cellulosic sugars, and changed the non-cellulosic sugar composition. We conclude that the increase in soil temperature and moisture by use of plastic-film mulch enhances productivity, but importantly maintains the SOC level in temperature- and rainfall-limited semiarid regions by balancing the increased SOC mineralization with increased root-derived C input. (C) 2016 The Authors. Published by Elsevier B.V.","2016","AGRICULTURAL AND FOREST METEOROLOGY","China, semiarid environments","Yes","Yes","Yes","Yes","Yes","plastic-film mulch, straw incorporation","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"58",2021,"Li Guang-hao; Cheng Gui-gen; Lu Wei-ping; Lu Da-lei","Differences of yield and nitrogen use efficiency under different applications of slow release fertilizer in spring maize",NA,"10.1016/S2095-3119(20)63315-9",NA,"Excessive or insufficient application of fertilizer has raised broader concerns regarding soil and environmental degradation. One-time application of slow release fertilizer (SF) has been widely used to reduce yield gap with potential maize yield and improve nitrogen use efficiency (NUE). A 2-year field experiment (2018-2019) was conducted to evaluate the effects of SF rates from 0 to 405 kg N ha(-1) (named F0, SF225, SF270, SF315, SF360, and SF405) and 405 kg N ha(-1) of common fertilizer (CF405) on the grain yield, biomass and N accumulation, enzymatic activities related with carbon-nitrogen metabolism, NUE and economic analysis. Results indicated that the highest grain yields, NUEs and economic returns were achieved at SF360 in both varieties. The enzymatic activities related with carbon-nitrogen metabolism, preand post-silking accumulation of biomass and N increased with increasing SF rate, and they were the highest at SF360 and SF405. The grain yield at SF360 had no significant difference with that at SF405. However, the N partial factor productivity, N agronomic efficiency and N recovery efficiency at SF360 were 9.8, 6.6 and 8.9% higher than that at SF405. The results also indicated that the average grain yields, NUE and economic benefit at SF405 were 5.2, 12.3 and 18.1% higher than that at CF405. In conclusion, decreasing N rate from 405 kg ha(-1) (CF) to 360 kg ha(-1) (SF) could effectively reduce the yield gap between realized and potential maize yields. The N decreased by 11.1%, but the yield, NUE and economic benefit increased by 3.2, 22.2 and 17.5%, which created a simple, efficient and business-friendly system for spring maize production in Jiangsu Province, China.","2021","JOURNAL OF INTEGRATIVE AGRICULTURE","China","Yes","Yes","Yes","Yes","Yes","slow release fertilizer","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"59",2022,"Kiwia, Abednego; Kimani, David; Harawa, Rebbie; Jama, Bashir; Sileshi, Gudeta W.","Fertiliser use efficiency, production risks and profitability of maize on smallholder farms in East Africa","EXPERIMENTAL AGRICULTURE","10.1017/S001447972200014X",NA,"The use of fertilisers in maize production has been the focus for many years of agronomic studies on research stations in East Africa. However, information on production risks and profitability of fertiliser use on smallholder farms is generally lacking because most of the early studies have focused on mean yields and yield components on research stations. This study applied rigorous analyses to determine conditions under which (1) production risks are low; (2) the recommended nitrogen (N) and phosphorus (P) fertiliser rates achieve a yield target of >= 3 t ha(-1) believed to be a necessary condition to kick start a smallholder-led `green revolution' in Africa and (3) N and P fertiliser use is profitable on smallholder farms in East Africa. Analysis of data from 464 on-farm trials in Kenya, Rwanda, Tanzania and Uganda revealed significant variations in production risks and nutrient use efficiency with season and soil type. On most sites, except in Uganda, production risks were lower with the recommended N and P fertilisers than the control during both the short and long rains. Production risks were three to four times higher with N and P fertiliser relative to the control on Lixisols and Ferralsols, but such risks were much lower on Nitisols, Leptosols, Vertisols, Plinthosols and Cambisols. The probability of exceeding grain yields of 3 t ha(-1) with the recommended N and P rates was over 0.60 on Nitisols and Leptosols, but less than 0.20 on Lixisols and Plinthosols. The agronomic use efficiencies of N (AEN), P (AEP) and value cost ratios (VCR) were highest on Cambisols and lowest on Plinthosols. The VCR increased linearly with increase in AEN (R-2 = 0.92) and AEP (R-2 = 0.87) and less so with increase in grain yields (R-2 = 0.47-0.60). Net present values indicated profitably of N and P fertiliser over the long term in only 30% of the site by season combinations in Uganda compared with 69% in Kenya, 81% in Rwanda and 84% in Tanzania. Patterns of N use efficiencies were different from P use efficiencies across soil types. Therefore, we recommend that N and P fertilisers should be appropriately targeted to soils where applied nutrients are used efficiently by maize crops.","2022","EXPERIMENTAL AGRICULTURE","Kenya, Rwanda, Tanzania, Uganda","Yes","Yes","Yes","Yes","Yes","inorganic fertilizer optimization","Extracted","No","Excluded - Issues: is_LAC_CAC"
"60",2023,"Zhang, Bing-chao; Hu, Han; Guo, Zheng-yu; Gong, Shuai; Shen, Si; Liao, Shu-hua; Wang, Xin; Zhou, Shun-li; Zhang, Zhong-dong","Plastic-film-side seeding, as an alternative to traditional film mulching, improves yield stability and income in maize production in semi-arid regions","ENERGY","10.1016/j.jia.2022.08.017",NA,"Planting under plastic-film mulches is widely used in spring maize production in arid-cold regions for water conservation and warming the soil. To ameliorate the associated issues such as plastic-film residues and additional labor during the ``seedling release'' in spring maize production, we have developed a plastic-film-side seeding (PSS) technology with the supporting machinery. In the semi-arid regions of Northwest China, a 7-year trial demonstrated that PSS increased plant number per hectare by 6 547 and maize yield by 1 686 kg ha-1 compared with the traditional method of seeding under plastic-film mulch (PM). Two-year experiments were conducted in two semi-arid regions to further understand the effects of PSS on three important aspects of production: (i) the moisture and temperature of soil, (ii) maize development, yield output, and water use efficiency (WUE), and (iii) the revenue and plastic-film residuals in comparison with that of flat planting (CK) and PM. Continuous monitoring of the soil status demonstrated that, compared with CK, the PSS treatment significantly increased the temperature and moisture of the 0-20 cm soil in the seeding row at the early stage of maize development, and it also promoted grain yield (at 884-1 089 kg ha-1) and WUE, achieving a similar effect as the PM treatment. Economically, the labor inputs of PSS were equal to CK, whereas the PM cost an additional 960 CNY ha-1 in labor for releasing the seedlings from below the film. Overall, the PSS system increased profits by 5.83% (547 CNY ha-1 yr-1) and 8.16% (748 CNY ha-1 yr-1) compared with CK and PM, respectively. Environmentally, PSS achieved a residual film recovery rate of nearly 100% and eliminated 96 to 130 kg ha-1 of residual plastic-film in PM in 3-5 years of maize production. Collectively, these results show that PSS is an eco-friendly technique for improving yield stability and incomes for the sustainable production of maize in semi-arid regions.","2023","JOURNAL OF INTEGRATIVE AGRICULTURE","China","Yes","Yes","Yes","Yes","Yes","plastic-film mulch, water harvesting, improved varieties","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"61",2017,"Tzuc-Martinez, Rodrigo; Casanova-Lugo, Fernando; Caamal-Maldonado, Arturo; Tun-Garrido, Juan; Gonzalez-Valdivia, Noel; Cetzal-Ix, William","INFLUENCE OF WOODY SPECIES IN THE DYNAMICS OF WEEDS IN AGROFORESTRY SYSTEMS IN YUCATAN, MEXICO","AGROCIENCIA",NA,NA,"The factors that limit maize production in Yucatan, Mexico are decreasing yields and a constant increase of weedy species. A strategy to deal with these problems is to develop diversified productive schemes, such as agroforestry systems (SAF). This study determined the cover dynamics and biomass of weeds in an SAF composed of forage trees and maize during two cropping cycles (CC). Leucaena leucocephala, Guazuma ulmifolia, and Moringa oleifera, associated with maize, and a plot of maize monocrop were evaluated with a complete random block design with three replications. Weed cover, biomass, diversity and density were measured at the beginning, middle and end of the two CC. The weeds were collected in squares delimited by 50 x 50 cm frames distributed randomly in each experimental unit, separated by species and dried. With this data, an ANOVA was performed, and when significance was detected, the Tukey test (p <= 0.05) was used. At the beginning of the first CC, the SAF Guazuma + maize had lower weed cover (41 %), while Moringa + maize was higher at the middle and end (71 and 49 %). At the beginning of the second CC, the Guazuma + maize SAF had less weed cover, and Guazuma + maize and Leucaena + maize were lower (54 and 48 %). In both CC, weed biomass in the SAF was almost half that of monocropped maize. At the end of both CC, the Guazuma + maize system had less weed diversity than the maize monocrop. At the beginning and end of the two CC, weed density was greater in the monocrop. Eighteen botanical families were identified and, of these, 21 % were leguminous. The suppression of weeds in the SAF was 23 to 36 %. Woody species in SAF reduce weed cover and biomass, relative to maize monocrop.","2017","AGROCIENCIA","Mexico","Yes","Yes","Yes","No","Yes","agroforestry, intercropping","Rejected-Full Text Screening","Yes","Excluded - Issues: focus_agriculture"
"62",2018,"Liang, Guopeng; Wu, Huijun; Houssou, Albert A.; Cai, Dianxiong; Wu, Xueping; Gao, Lili; Wang, Bisheng; Li, Shengping","Soil respiration, glomalin content, and enzymatic activity response to straw application in a wheat-maize rotation system","JOURNAL OF ARID LAND","10.1007/s11368-017-1817-y",NA,"Straw residue has been widely applied in the North China Plain agroecosystems due to their positive roles in soil fertility improvement, sustainable production, and climate change mitigation. However, little is known about how straw application alters soil respiration by influencing soil biochemical properties in this region. This is the first study to evaluate the role of soil enzyme activity and glomalin content in the response of soil respiration to straw application at different growth stages in a wheat-maize rotation system. Field experiment was conducted in a wheat-maize rotation system and it contained two treatments: straw residue removal (CK) and straw residues application (SR). Soil respiration, moisture, and temperature were measured using LI-8100 at different growth stages during wheat and maize (2013-2015) growing seasons. From 2013 to 2014, soil sample (0-20 cm) was collected at different growth stages during wheat and maize growing seasons and transported to the laboratory. Glomalin content and soil enzyme activity were analyzed by using Bradford and enzyme-labeled meter method, respectively. In addition, we determined soil chemical properties such as soil organic carbon (SOC), soil total N content (TN), ammonium N (NH4 (+)-N), and nitrate N (NO3 (-)-N) concentrations. SR significantly increased soil respiration and this promotion effect became more significant after 4-year straw application. Soil respiration exhibited significant seasonal variation and was significantly increased by soil temperature with Q (10) ranging from 1.73 to 2.14 for CK and from 1.51 to 2.28 for SR. Both soil temperature and moisture accounted for 70-72% of the seasonal variation in soil respiration. SR significantly increased easily extractable glomalin-related soil protein during 2013-2014 wheat growing season except jointing stage. In addition, positive and significant effect of SR on activities of beta-glucosidase and cellobiohydrolase was observed at initial and vigorous growth stages. Straw application significantly increased TN, but did not significantly influence SOC, NH4 (+)-N, and NO3 (-)-N concentrations. Our study demonstrated that straw application increased soil respiration by stimulating soil enzyme activities and improving easily extractable glomalin-related soil protein. Straw application is recommended as an agricultural management in the North China Plain because of its role in improving biochemical properties. To improve soil biochemical parameters with a relative low soil respiration rate, further information is necessary about the optimum amount of straw application.","2018","JOURNAL OF SOILS AND SEDIMENTS","North China Plain","Yes","Yes","Yes","Yes","No","straw residue application","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"63",2015,"Huang, Chengdong; Liu, Quanqing; Heerink, Nico; Stomph, TjeerdJan; Li, Baoshen; Liu, Ruili; Zhang, Hongyan; Wang, Chong; Li, Xiaolin; Zhang, Chaochun; van der Werf, Wopke; Zhang, Fusuo","Economic Performance and Sustainability of a Novel Intercropping System on the North China Plain",NA,"10.1371/journal.pone.0135518",NA,"Double cropping of wheat and maize is common on the North China Plain, but it provides limited income to rural households due to the small farm sizes in the region. Local farmers in Quzhou County have therefore innovated their production system by integration of watermelon as a companion cash crop into the system. We examine the economic performance and sustainability of this novel intercropping system using crop yield data from 2010 to 2012 and farm household survey data collected in 2012. Our results show that the gross margin of the intercropping system exceeded that of the double cropping system by more than 50% in 2012. Labor use in the intercropping system was more than three times that in double cropping. The lower returns per labor hour in intercropping, however, exceeded the average off-farm wage in the region by a significant margin. Nutrient surpluses and irrigation water use are significant larger under the intercropping system. We conclude that the novel wheat-maize/watermelon intercropping system contributes to rural poverty alleviation and household-level food security, by raising farm incomes and generating more employment, but needs further improvement to enhance its sustainability.","2015","PLOS ONE","China","Yes","Yes","Yes","Yes","Yes","intercropping","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC"
"64",2020,"Mutuku, Eunice A.; Roobroeck, Dries; Vanlauwe, Bernard; Boeckx, Pascal; Cornelis, Wim M.","Maize production under combined Conservation Agriculture and Integrated Soil Fertility Management in the sub-humid and semi-arid regions of Kenya","FIELD CROPS RESEARCH","10.1016/j.fcr.2020.107833",NA,"Crop production in Sub-Saharan Africa (SSA) is constrained by rainfall variability and declining soil fertility. This has over time led to a decrease in crop yield, among them also maize. This decrease is also experienced in the sub-humid and semi-arid locations of Kenya. Among the commonly used soil and water management practices in SSA are Conservation Agriculture (CA) and integrated soil fertility management (ISFM). Crop response to these management practices is influenced by the existence of soil fertility gradients which are common among smallholder farmers. This paper presents results from a study done in the sub-humid and semi-arid location of Kenya, focusing on the effects of CA- and/or ISFM-based practices on maize yield. Trials were set out on farms within the two locations using a one farm one replicate randomized design. In each farm, CA-based treatment, no tillage with residue retention (NTR), ISFM-based treatment, conventional tillage with use of manure (CTM), a combination of CA + ISFM, no tillage with residue retention and use of manure (NTRM) and a control, (C) were laid down on fields representing high and low fertility soils. The trials started in the long rains of 2017 (LR2017) running for four seasons i.e., LR2017, short rains 2017 (SR2017), long rains 2018 (LR2018) and short rains 2018 (SR2018). Soil water content (SWC) and nitrogen use efficiency (NUE) were also monitored and evaluated. In either high or low fertility fields, maize grain yield was significantly different between the control and both NTR, CTM and NTRM with no significant differences between NTR, CTM and NTRM. Maize grain yield increase compared to the control was highest under ISFM in the low fertility fields in both locations and all seasons. For example, during the last season, SR2018, NTR, CTM and NTRM significantly increased maize grain yield by 136 %, 297 %, and 208 %, respectively, compared to the control, in the low fertility fields of subhumid Kibugu. In the semi-arid Machang'a, the increase by NTR, CTM and NTRM, respectively, in the low fertility fields was 146 %, 379 % and 183 % for SR2018. This was linked to the tendency of ISFM to improve crop yield in the short run. For both locations, SWC and NUE were highest under NTR. In the sub-humid Kibugu, during SR2018, at the grain filling stage, 78 days after sowing, SWC under NTR, CTM and NTRM was higher by 16 %, 9 % and 20 %, respectively, compared to the control. Also at 78 days after sowing, in the semi-arid Machang'a, SWC was 18 %, 7 % and 15 % significantly higher under NTR, CTM and NTRM, respectively, compared to the control. The higher SWC observed under NTR and NTRM was related to no tillage with residue retention while under CTM it was related to improved soil organic matter through manure addition. NUE, on the other hand, was 26 % and 23 % in Kibugu and Machang'a, respectively, and lowest under the combined practice (NTRM), i.e., 19 % and 15 % in Kibugu and Machang'a, respectively. The high NUE under CA was attributed to the placement of urea in the planting holes while maintaining residue on the soil surface. The low NUE under NTRM was linked to fertilizer N immobilization. Lastly, from the biomass yield, our study showed that monocrop maize under NTR requires a kick-starting by an ISFM-based practice in the low fertility fields of the semi-arid region.","2020","FIELD CROPS RESEARCH","Kenya","Yes","Yes","Yes","Yes","Yes","no tillage, residue retention, manure, urea placement","Extracted","No","Excluded - Issues: is_LAC_CAC"
"65",2010,"Rivera-Hernandez, B.; Carrillo-Avila, E.; Obrador-Olan, J. J.; Juarez-Lopez, J. F.; Aceves-Navarro, L. A.","Morphological quality of sweet corn (Zea mays L.) ears as response to soil moisture tension and phosphate fertilization in Campeche, Mexico","AGRICULTURAL WATER MANAGEMENT","10.1016/j.agwat.2010.04.001",NA,"In Mexico, corn production, part of which is sweet corn, is mainly destined for human consumption. In the present work, the morphological quality of sweet corn ears was assessed in response to four levels of soil moisture tension indicating irrigation start (-5, -30, -55, and -80 kPa) and three levels of phosphate fertilization (60, 80 and 100 kg ha(-1)) in carstic soils in the south-east of Mexico. A factorial experimental design with three replicates was used. The following variables were determined: fresh weight (SCFWh), dry weight (SCDWh), diameter (SCDh), and length (SCLh) of sweet corn ears, all without husk, as well as number of kernels (NKxE), number of unfilled kernels (NUK), number of rows (NRxE), and dry kernel weight per ear (DKW). Yield of fresh (YFSCh) and dry (YDSCh) sweet corn ears, both without husk, and the harvest index (HI) were also determined. HI did not show significant statistical differences among irrigation or fertilization treatments. Regarding the other variables, the effect of the more humid treatments (-5 and -30 kPa) and the effect of the higher phosphorus doses (80 and 100 kg ha(-1)) were statistically equal (P <= 0.01) with the lowest NUK and the highest values of all other variables: therefore, irrigation start at soil moisture tension of -30 kPa and phosphate fertilization application of 80 kg ha(-1) are recommended. At this level of soil moisture, the mean values over the three fertilization levels and all the replicates, obtained for SCFWh SCDh SCLh and NKxE were 198.5g. 4.39 cm, 26.72 cm and 467 grains, respectively. According to the regression models, moisture tensions from -11.8 to -24.0 kPa, and phosphate fertilization doses from 87.7 to 102.2 kg ha(-1) minimize NUK and maximize the values of the rest of the variables. The highest irrigation water use efficiency was found in the moisture tension treatment of -30 kPa with an increase of 27 kg ha(-1) ears for each millimeter of applied irrigation water. (C) 2010 Elsevier B.V. All rights reserved.","2010","AGRICULTURAL WATER MANAGEMENT","Mexico","Yes","Yes","Yes","Yes","Yes","irrigation, phosphate fertilization","Rejected-Full Text Screening","Yes","Included"
"66",2016,"Dubey, S. K.; Sharma, Nishi; Sharma, J. P.; Sharma, Ambrish; Kishore, Nand","Assessing citrus (lemon) based intercropping in the irrigated areas of northern plains of Haryana","LAND DEGRADATION & DEVELOPMENT","10.5958/0974-0112.2016.00094.3",NA,"On-farm experiment was conducted in the village Badarpursaid of Faridabad district in Haryana to assess the various intercrop combination in the lemon orchard during 2011 to 2014. The lemon variety Baramasi (Citrus limon) was planted in the area of 2,000 sq. m. in the year 2011. During rabi 2011 to rabi 2013-14, different crops like winter vegetables (cabbage and cauliflower), summer crops as muskmelon and fodder maize and kharif crops of maize (cob and fodder) and fodder sorghum were grown as intercrop in the orchard. The comparison was made in terms of net return from the system, crop productivity index and land equivalent ratio. Results showed that the best intercropping system was lemon + fodder maize - muskmelon - cauliflower. There was enhancement in land utilization, cropping intensity and farmers' income.","2016","INDIAN JOURNAL OF HORTICULTURE","India, Haryana","Yes","Yes","Yes","Yes","No","intercropping, crop rotation","Rejected-Other locations","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"67",2021,"Teixeira, Antonio; Pacheco, Edson; Silva, Cesar; Dompieri, Marcia; Leivas, Janice","SAFER applications for water productivity assessments with aerial camera onboard a remotely piloted aircraft (RPA). A rainfed corn study in Northeast Brazil","REMOTE SENSING APPLICATIONS-SOCIETY AND ENVIRONMENT","10.1016/j.rsase.2021.100514",NA,"Aerial images taken with a camera onboard a remotely piloted aircraft (ARP) at 4-cm resolution were used for rainfed corn water productivity (WP) assessments by applying the Simple Algorithm for Evapotranspiration Retrieving (SAFER) and the radiation use efficiency (RUE) Monteith's model in Northeast Brazil. We present a methodology based on the use of the visible and near infrared images from a Sequoia camera together with weather and actual yield data (Y-a), to model actual evapotranspiration (ET) and biomass production (BIO), retrieving water productivity based on both BIO (WPBIO) and actual yield (WPYa). Different nitrogen (N) fertilizing cover levels (0-250 kg ha(-1)) and sources (nitrate - Nt and urea - Ur) were analyzed for supporting precision agriculture, aiming a fertilizing recommendation for good corn yield while reducing water use and N leaching problems. According to our statistical analyzes, there were no significant difference on ET values for the N treatments inside the analyzed phenological stages (PS) due to the proportional partition into soil evaporation and transpiration from seeding to harvest stages, but as BIO values is related to transpiration which in turn varied with PS until a certain limit, they affected WP till N cover fertilizing level of 150 kg ha(-1) for both Nt and Ur N sources. Regarding the growing season (GS) WP components, no significant differences were verified between Nt and Ur N sources, being the average values for ET, BIO, and Y-a, of 394 mm GS(-1), 17.3 t GS(-1), and 8.8 t GS(-1), which yielded mean WPBIO andWP(Ya) of 4.4 kg m(-3) and 2.2 kg m(-3), corresponding to a harvest index (HI) around 0.50 considering all N cover fertilizing treatments. The most important finding of the current research is that the SAFER algorithm can be applied to estimate ET with high resolution aerial cameras without the thermal bands, and together with modelled BIO or Y-a data, WP assessments can be carried out following the principles of precision agriculture. The slightly lower WP values for Ur N source and the advantage of its lower both price and N leaching problems, Ur applications at 150 kg ha(-1) is recommended to save money while avoiding N leaching to the ground water, when compared with Nt source. For replication of the tested methods in other regions, simple calibrations of the modelling equations may be done with field or/and remote sensing measurements, to infer the specific environmental conditions.","2021","REMOTE SENSING APPLICATIONS-SOCIETY AND ENVIRONMENT","Brazil","Yes","Yes","Yes","Yes","Yes","precision agriculture, fertilizing recommendation","Rejected-Full Text Screening","Yes","Included"
"68",2022,"Agarwal, Prashasti; Schutte, Brian J.; Idowu, Omololu John; Steiner, Robert L.; Lehnhoff, Erik A.","Weed suppression versus water use: Efficacy of cover crops in water-limited agroecosystems","WEED RESEARCH","10.1111/wre.12519",NA,"Winter cover crops (CC) may facilitate weed management by inhibiting weed seed germination and seedling emergence and suppressing weed growth within the cash crop. In southern New Mexico, with scarce winter precipitation and limited irrigation water, producing sufficient CC biomass for effective weed suppression while conserving water resources is challenging. This study assessed the water requirement to produce a CC with enough biomass for weed suppression benefits during cash crop growth at two locations in New Mexico. Three winter CC species, barley, Austrian winter pea and mustard, grown singly and in a three-way mix, under three differential irrigation treatments (one, two or three irrigations after emergence) were evaluated for their weed-suppressive potential. Maize was planted as a cash crop four weeks after winter CC termination. Number of irrigations had no effect on the CC and weed biomass production. All CCs had lower weed density prior to maize planting compared with fallow. Barley and the three-way mix reduced weed density by 56-96% and 68-95%, respectively. All CC treatments had lower weed biomass at the end of critical period for weed control in maize compared with fallow. Weed biomass at maize harvest did not differ between treatments. The maize yield was consistently higher in conventionally managed, weed-free subplots, than in unsprayed weedy subplots, suggesting that CCs did not suppress weeds throughout the maize growing season. Except for barley, CCs did not cause reductions in maize yield compared with fallow. Overall, the study suggested that with adequate winter precipitation, weed-suppressive winter cover crop stands can be produced with just one irrigation at seeding and one supplemental irrigation, making them a viable option in water-limited agroecosystems.","2022","WEED RESEARCH","NA","Yes","Yes","Yes","Yes","No","cover cropping, water harvesting","Rejected-Full Text Screening","No","Excluded - Issues: is_LAC_CAC, target_crop_livestock"
"69",2022,"Chichongue, Oscar; van Tol, Johan J.; Ceronio, Gert M.; du Preez, Chris C.; Kotze, Elmarie","Short-Term Effects of Tillage Systems, Fertilization, and Cropping Patterns on Soil Chemical Properties and Maize Yields in a Loamy Sand Soil in Southern Mozambique","AGRONOMY-BASEL","10.3390/agronomy12071534",NA,"Sub-Saharan Africa (SSA) agriculture is characterized by dependence on erratic rainfall, inadequate conservation practices, and a decline in soil fertility resulting in low crop productivity. Therefore, conservation agriculture (CA) has been proposed as an alternative to improve soil fertility and productivity. Hence the aim was to investigate the effects of tillage systems, fertilization, and cropping patterns on selected soil chemical properties (pH, organic carbon, total nitrogen, extractable phosphorus, exchangeable cations, and cation exchange capacity) and identify which cropping pattern maximizes stover and grain maize-legume productivity and land use. A two-year (2016/17-2017/18) field experiment in a loamy sand soil was conducted at Nhacoongo Research Station, southern Mozambique. Two tillage systems (conservation (CA) and conventional tillage (CT)), two fertilization treatments (fertilized and unfertilized), and seven cropping patterns (four sole crops and three maize-legume intercrops) were evaluated in a randomized complete block design with split-split plot arrangement and replicated four times. CA practices resulted in significantly higher soil chemical properties and increased stover and grain yields as compared to CT practices, but fertilization demonstrated insignificant effects on soil chemical properties and significant influences on stover and grain yield of maize and legumes. Cropping patterns induced no significant effect on soil chemical properties and either stover or grain yield. Estimated indices like land equivalent ratio (1.18-2.67) and competitive ratio index (0.01-1.72) confirmed the advantage of intercropping against sole cropping. This is largely supported by the estimated values of aggressivity and relative crowding coefficient. Smallholder farmers can therefore benefit by adopting CA.","2022","AGRONOMY-BASEL","Mozambique","Yes","Yes","Yes","Yes","Yes","agroforestry, rotation","Extracted","No","Excluded - Issues: is_LAC_CAC"
